time,direction,order_id,price,symbol
2025-12-09 20:05:03.569897,BUY,0,0.0,EURUSD
2025-12-09 20:05:04.579307,BUY,0,0.0,EURUSD
2025-12-09 20:05:05.589555,BUY,0,0.0,EURUSD
2025-12-09 20:05:06.600241,BUY,0,0.0,EURUSD
2025-12-09 20:05:07.610602,BUY,0,0.0,EURUSD
2025-12-09 20:05:08.619420,BUY,0,0.0,EURUSD
2025-12-09 20:05:09.627021,BUY,0,0.0,EURUSD
2025-12-09 20:05:10.632505,BUY,0,0.0,EURUSD
2025-12-09 20:05:11.644767,BUY,0,0.0,EURUSD
2025-12-09 20:05:12.650602,BUY,0,0.0,EURUSD
2025-12-09 20:05:13.664927,BUY,0,0.0,EURUSD
2025-12-09 20:05:14.677348,BUY,0,0.0,EURUSD
2025-12-09 20:05:15.695027,BUY,0,0.0,EURUSD
2025-12-09 20:05:16.732855,BUY,0,0.0,EURUSD
2025-12-09 20:05:17.747937,BUY,0,0.0,EURUSD
2025-12-09 20:05:18.763105,BUY,0,0.0,EURUSD
2025-12-09 20:05:19.777716,BUY,0,0.0,EURUSD
2025-12-09 20:05:20.793733,BUY,0,0.0,EURUSD
2025-12-09 20:05:21.810046,BUY,0,0.0,EURUSD
2025-12-09 20:05:22.824415,BUY,0,0.0,EURUSD
2025-12-09 20:05:23.836077,BUY,0,0.0,EURUSD
2025-12-09 20:05:24.847380,BUY,0,0.0,EURUSD
2025-12-09 20:05:25.858189,BUY,0,0.0,EURUSD
2025-12-09 20:05:26.868581,BUY,0,0.0,EURUSD
2025-12-09 20:05:27.879665,BUY,0,0.0,EURUSD
2025-12-09 20:05:28.894351,BUY,0,0.0,EURUSD
2025-12-10 07:24:43.373762,CALL,1.16269,1.16254,-10,2025-12-10 07:24:43.350191
2025-12-10 07:24:45.043936,CALL,1.16269,1.16254,-10,2025-12-10 07:24:45.025457
2025-12-10 07:24:46.681680,CALL,1.16269,1.16254,-10,2025-12-10 07:24:46.667701
2025-12-10 07:24:48.242233,CALL,1.16269,1.16254,-10,2025-12-10 07:24:48.225886
2025-12-10 07:24:49.928134,CALL,1.16269,1.16254,-10,2025-12-10 07:24:49.908012
2025-12-10 07:24:50.549783,CALL,1.16269,1.16254,-10,2025-12-10 07:24:50.541397
2025-12-10 07:24:51.172081,CALL,1.16269,1.16254,-10,2025-12-10 07:24:51.151649
2025-12-10 07:24:51.731357,CALL,1.16269,1.16254,-10,2025-12-10 07:24:51.717861
2025-12-10 07:24:52.339438,CALL,1.16269,1.16254,-10,2025-12-10 07:24:52.333115
2025-12-10 07:24:52.948750,CALL,1.16269,1.16254,-10,2025-12-10 07:24:52.941940
2025-12-10 07:24:53.529574,CALL,1.16269,1.16256,-10,2025-12-10 07:24:53.523630
2025-12-10 07:24:54.167054,CALL,1.16269,1.16256,-10,2025-12-10 07:24:54.111954
2025-12-10 07:24:54.783620,CALL,1.16269,1.16256,-10,2025-12-10 07:24:54.689832
2025-12-10 07:24:55.306154,CALL,1.16269,1.16256,-10,2025-12-10 07:24:55.292294
2025-12-10 07:29:15.193550,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:15.167474
2025-12-10 07:29:15.571585,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:15.560392
2025-12-10 07:29:15.992747,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:15.975470
2025-12-10 07:29:16.383288,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:16.368683
2025-12-10 07:29:16.772460,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:16.755926
2025-12-10 07:29:17.164764,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:17.155899
2025-12-10 07:29:17.574074,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:17.554347
2025-12-10 07:29:17.994274,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:17.988423
2025-12-10 07:29:18.400802,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:18.388986
2025-12-10 07:29:18.823697,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:18.804040
2025-12-10 07:29:19.229402,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:19.214010
2025-12-10 07:29:19.634951,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:19.628287
2025-12-10 07:29:20.090647,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:20.073977
2025-12-10 07:29:20.512274,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:20.492323
2025-12-10 07:29:20.917154,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:20.909608
2025-12-10 07:29:21.324338,CALL,1.1627399999999999,1.16255,-10,2025-12-10 07:29:21.312913
